sweet,sour,spicy,bitter,fruity,dense,herb,Cluster,cocktail_name
0,0,0,0,0,0,0,1,Flying Dutchman
1,1,0,0,1,0,0,0,Frozen Daiquiri
0,0,0,0,1,0,0,9,Fruit Flip-Flop
2,0,0,1,0,0,0,7,Flying Scotchman
0,0,0,0,0,0,0,1,French Connection
0,0,1,0,0,0,0,25,Flaming Dr. Pepper
0,0,0,0,0,1,0,5,Flaming Lamborghini
0,0,0,0,0,0,0,1,Flander's Flake-Out
1,1,0,0,0,0,1,8,Frozen Mint Daiquiri
1,1,0,0,1,0,0,0,Frozen Pineapple Daiquiri
0,0,1,0,0,0,0,25,GG
1,2,0,0,0,0,0,27,Gimlet
0,0,0,0,0,1,0,5,Godchild
1,1,0,0,0,0,0,8,Gin Fizz
1,1,0,0,2,0,0,4,Gin Sour
0,1,0,0,1,0,0,11,Gagliardo
0,0,0,0,0,0,0,1,Godmother
0,0,0,0,0,0,0,1,Godfather
1,1,0,0,0,0,0,8,Gluehwein
0,1,0,1,0,0,0,18,Gin Tonic
1,1,0,0,0,0,0,8,Gin Toddy
1,0,0,0,2,0,1,30,Gin Smash
2,1,0,0,2,0,0,4,Gin Daisy
0,2,0,0,0,0,0,6,Gin Lemon
1,1,0,0,1,0,0,0,Gin Sling
0,0,0,0,1,0,0,9,Greyhound
1,2,0,0,0,0,0,27,Gin Rickey
2,0,0,0,2,0,0,30,Gin Squirt
0,1,0,0,1,0,0,11,Grand Blue
1,1,0,0,1,0,0,0,Gin Cooler
1,1,0,1,0,0,0,16,Gin Swizzle
1,0,0,0,2,0,0,30,Grass Skirt
0,0,0,0,0,1,1,5,Grasshopper
1,0,0,0,0,0,0,15,Grim Reaper
0,1,0,0,0,0,0,6,Gin and Soda
0,0,0,0,1,1,0,24,Golden dream
0,0,0,0,0,0,0,1,Green Goblin
0,0,0,0,0,1,0,5,Grizzly Bear
0,1,0,1,0,0,0,18,Gin And Tonic
1,1,0,0,0,0,1,8,Gin Basil Smash
1,0,0,0,0,0,0,15,Gentleman's Club
1,1,0,0,0,0,0,8,Girl From Ipanema
0,0,0,0,2,0,0,17,Garibaldi Negroni
1,0,0,0,1,0,0,10,Gideon's Green Dinosaur
0,1,0,0,2,0,0,4,Grape lemon pineapple Smoothie
0,0,0,1,0,1,0,21,H.D.
1,1,0,0,0,0,0,8,Honey Bee
1,1,0,0,0,0,0,8,Hot Toddy
0,0,1,0,0,0,0,25,Herbal flame
0,1,1,1,0,0,0,18,Horse's Neck
0,1,1,0,0,0,0,28,Happy Skipper
1,1,0,0,2,0,0,4,Hunter's Moon
0,0,1,0,2,0,0,17,Halloween Punch
0,1,0,0,1,0,0,11,Havana Cocktail
0,0,0,0,1,0,0,9,Holloween Punch
3,0,0,1,0,0,0,7,Homemade Kahlua
0,0,0,1,0,1,0,21,Hot Creamy Bush
